name	nmol	charge	massdiff	oidscore	quasi	ips
[M+H-(H2O)2]+	1	1	-35.01385294	96	0	0.5
[M+H-CH2]+	1	1	-13.00837361	97	0	0.5
[M+H-O]+	1	1	-14.98763817	98	0	0.5
[M+H-C2H2]+	1	1	-25.00837361	99	0	0.5
[M+H-C2H4]+	1	1	-27.02402368	100	0	0.5
[M+H-CO]+	1	1	-26.98763817	101	0	0.75
[M+H-C3H6]+	1	1	-41.03967375	102	0	0.5
[M+H-C2H4O]+ (McLafferty)	1	1	-43.01893831	103	0	0.5
[M+H-C4H6]+	1	1	-53.03967375	104	0	0.5
[M+H-C3H4O]+	1	1	-55.01893831	105	0	0.5
[M+H-C4H8]+	1	1	-55.05532382	106	0	0.5
[M+H-C5H8]+	1	1	-67.05532382	107	0	0.5
[M+H-C4H6O]+	1	1	-69.03458838	108	0	0.5
[M+H-C5H10]+	1	1	-69.07097389	109	0	0.5
[M+H-C6H12]+	1	1	-83.08662396	110	0	0.5
[M+H-C4H8O2]+	1	1	-87.04515308	111	0	0.5
[M+H-H2O-HCOOH]+	1	1	-63.00876757	112	0	0.5
[M+H-CH4]+	1	1	-15.02402368	113	0	0.5
[M+H-CH2O]+	1	1	-29.00328824	114	0	0.5
[M+H-C2H6]+	1	1	-29.03967375	115	0	0.5
[M+H-CH3OH]+	1	1	-31.01893831	116	0	0.5
[M+H-C3H4]+	1	1	-39.02402368	117	0	0.5
[M+H-C3H6O]+	1	1	-57.03458838	118	0	0.5
[M+H-CO2-C3H6]+	1	1	-85.02950302	119	0	0.5
[M+H-SO3]+	1	1	-78.94953814	120	0	0.5
[M+H-SO3-H2O]+	1	1	-96.96010284	121	0	0.5
[M+H-SO3-H2O-NH3]+	1	1	-113.9866519	122	0	0.5
[M+H-NH3-C3H4]+	1	1	-56.0505728	123	0	0.5
[M+H-H2O-CO2]+	1	1	-60.99311751	124	0	0.5
[M+H-H2O-H2O-C2H4O (McLafferty)]+	1	1	-79.04006772	125	0	0.5
[M+H-NH3-CO-CO]+	1	1	-72.00910192	126	0	0.5
[M+H-NH3-CO-COCH2]+	1	1	-86.02475199	127	0	0.5
[M+H-C8H6O]+	1	1	-117.0345883	128	0	0.5
[M+H-C8H6O-NH3]+	1	1	-134.0611374	129	0	0.5
[M+H-C8H6O-H2O]+	1	1	-135.045153	130	0	0.5
[M+H-C2H2O2]+	1	1	-56.99820288	131	0	0.5
[M+H-C2H4O2]+	1	1	-59.01385295	132	0	0.5
[M+H-C5H8O]+	1	1	-83.05023846	133	0	0.5
[M+H-NH3-CO2-CH2O]+	1	1	-90.01966661	134	0	0.5
[M+H-NH3-CO2-NH3-H2O]+	1	1	-95.04621572	135	0	0.5
[M+H-NH3-CO2-C3H4O]+	1	1	-116.0353167	136	0	0.5
[M+H-NH3-CO2-C5H8]+	1	1	-128.0717022	137	0	0.5
[M+H-HCOOH-HCOOH]+	1	1	-91.00368221	138	0	0.5
[M+H-C2H4-CO2]+	1	1	-71.01385295	139	0	0.5
[M+H-C2H4-HCOOH]+	1	1	-73.02950302	140	0	0.5
[M+H-NH3-H2O-H2O]+	1	1	-52.04040205	141	0	0.5
[M+H-H2O-C2H2O2]+	1	1	-75.00876758	142	0	0.5
[M+H-COCH2-C4H8]+	1	1	-97.06588853	143	0	0.5
[M+H-NH3-NH3-C3H4]+	1	1	-73.0771219	144	0	0.5
[M+H-C2H4O2-CH3OH]+	1	1	-91.04006772	145	0	0.5
[M+H-C3H6O-CH3OH]+	1	1	-89.06080316	146	0	0.5
[M+H-NH3-CO-COCH2-C4H6O]+	1	1	-156.0666168	147	0	0.5
[M+H-C4H6-H2O]+	1	1	-71.05023846	148	0	0.5
[M+H-C4H6-C2H4]+	1	1	-81.0709739	149	0	0.5
[M+H-C4H6-NH3-H2O]+	1	1	-88.07678756	150	0	0.5
[M+H-C4H6-COCH2]+	1	1	-95.05023846	151	0	0.5
[M+H-C4H6-C4H6O]+	1	1	-123.0815386	152	0	0.5
[M+H-C3H4O-C4H6]+	1	1	-109.0658885	153	0	0.5
[M+H-C3H4O-C4H8O2]+	1	1	-143.0713679	154	0	0.5
[M+H-C4H8-C4H6]+	1	1	-109.102274	155	0	0.5
[M+H-NH3-HCOOH-CH3OH]+	1	1	-94.05096675	156	0	0.5
[M+H-NH3-C2H6]+	1	1	-46.06622286	157	0	0.5
[M+H-NH3-C8H6O-CH2]+	1	1	-148.0767876	158	0	0.5
[M+H-NH3-C3H4-COCH2]+	1	1	-98.06113749	159	0	0.5
[M+H-C3H9N]+	1	1	-58.06622286	160	0	0.5
[M+H-C3H9N-C2H4O2]+	1	1	-118.0873523	161	0	0.5
[M+H-gluc]+	1	1	-175.0248	162	0	0.75
[M+H-gluc+H2O]+	1	1	-193.0354	163	0	0.75
[M+H-gluc-(H2O)2]+	1	1	-211.0459	164	0	0.5
[M+H-gluc-(H2O)3]+	1	1	-229.0565	165	0	0.5
[M+H-gluc-(H2O)3-CO]+	1	1	-257.0514	166	0	0.5
[M+H-(H2O)3]+	1	1	-53.02442	167	0	0.5
[M+H-(H2O)3-CO]+	1	1	-81.01933	168	0	0.5
[M+H-Leu]+	1	1	-130.0874	169	0	0.5
[M+H-Val]+	1	1	-116.0717	170	0	0.5
[M+H-CH3S]+	1	1	-45.98827	171	0	0.5
[M+H-phenylacetyl]+	1	1	-117.0346	172	0	0.5
[M-H]-	1	-1	-1.007276455	1	1	1
[2M-H]-	2	-1	-1.007276455	1	0	1
[3M-H]-	3	-1	-1.007276	1	0	1
[4M-H]-	4	-1	-1.007276455	1	0	1
[M-2H]2-	1	-2	-2.014552	2	0	0.75
[2M-2H]2-	2	-2	-2.014552	2	0	0.75
[3M-2H]2-	3	-2	-2.014552	2	0	0.75
[4M-2H]2-	4	-2	-2.014552	2	0	0.75
[M-3H]3-	1	-3	-3.021828	3	0	0.75
[2M-3H]3-	2	-3	-3.021828	3	0	0.75
[3M-3H]3-	3	-3	-3.021828	3	0	0.75
[4M-3H]3-	4	-3	-3.021828	3	0	0.75
[M-2H+Na]-	1	-1	20.974666	4	0	1
[2M-2H+Na]-	2	-1	20.974666	4	0	0.75
[3M-2H+Na]-	3	-1	20.974666	4	0	0.75
[4M-2H+Na]-	4	-1	20.974666	4	0	0.75
[M-2H+K]-	1	-1	36.948606	6	0	1
[2M-2H+K]-	2	-1	36.948606	6	0	0.75
[3M-2H+K]-	3	-1	36.948606	6	0	0.75
[4M-2H+K]-	4	-1	36.948606	6	0	0.75
[M+Cl]-	1	-1	34.969402	8	1	1
[2M+Cl]-	2	-1	34.969402	8	0	0.5
[3M+Cl]-	3	-1	34.969402	8	0	0.5
[4M+Cl]-	4	-1	34.969402	8	0	0.5
[M-H+Cl]2-	1	-2	33.962126	5	0	0.25
[M+2Cl]2-	1	-2	69.938804	9	0	0.25
[2M-H+Cl]2-	2	-2	33.962126	5	0	0.25
[2M+2Cl]2-	2	-2	69.938804	9	0	0.25
[3M-H+Cl]2-	3	-2	33.962126	5	0	0.25
[3M+2Cl]2-	3	-2	69.938804	9	0	0.25
[4M-H+Cl]2-	4	-2	33.962126	5	0	0.25
[4M+2Cl]2-	4	-2	69.938804	9	0	0.25
[M+Cl+NaCOOH]-	1	-1	102.956842	10	0	0.75
[M-H+HCOONa]-	1	-1	66.980164	11	0	0.75
[M+Cl+HCOOH]-	1	-1	80.974872	12	0	0.75
[M-H+HCOOH]-	1	-1	44.998194	13	0	0.75
[2M-4H+Fe3+]-	2	-1	51.90419	17	0	0.75
[3M-4H+Fe3+]-	3	-1	51.90419	18	0	0.75
[4M-4H+Fe3+]-	4	-1	51.90419	19	0	0.75
[2M-3H+Fe2+]-	2	-1	52.91146646	20	0	0.75
[3M-3H+Fe2+]-	3	-1	52.91146646	21	0	0.75
[4M-3H+Fe2+]-	4	-1	52.911466	22	0	0.75
[2M-4H+Al3+]-	2	-1	31.01064445	27	0	0.75
[3M-4H+Al3+]-	3	-1	31.01064445	28	0	0.75
[4M-4H+Al3+]-	4	-1	31.01064445	29	0	0.75
[M-H+NaCl]-	1	-1	56.95134397	23	0	0.5
[M-H+(NaCl)2]-	1	-1	114.9099643	24	0	0.5
[M-H+KCl]-	1	-1	72.92528367	25	0	0.5
[M-H+(CH3)2CO-H2O]- (acetone cond.)	1	-1	39.02402309	26	0	0.5
[M-H-HCOOH]-	1	-1	-47.01275487	85	0	0.75
[M-H-NH3]-	1	-1	-18.03382465	86	0	0.75
[M-H-H2O]-	1	-1	-19.01784024	87	0	0.75
[M-H-COCH2]-	1	-1	-43.01784024	88	0	0.75
[M-H-CO2]-	1	-1	-44.9971048	89	0	0.75
[M-H-NH3-CO2]-	1	-1	-62.02365391	90	0	0.5
[M-H-NH3-HCOOH]-	1	-1	-64.03930398	91	0	0.5
[M-H-NH3-H2O]-	1	-1	-36.04438935	92	0	0.5
[M-H-NH3-COCH2]-	1	-1	-60.04438935	93	0	0.5
[M-H-S]-	1	-1	-32.97934624	94	0	0.5
[M-H-S-NH3-HCOOH]-	1	-1	-96.01137468	95	0	0.5
[M-H-(H2O)2]-	1	-1	-37.02840494	96	0	0.5
[M-H-CH2]-	1	-1	-15.02292561	97	0	0.5
[M-H-O]-	1	-1	-17.00219017	98	0	0.5
[M-H-C2H2]-	1	-1	-27.02292561	99	0	0.5
[M-H-C2H4]-	1	-1	-29.03857568	100	0	0.5
[M-H-CO]-	1	-1	-29.00219017	101	0	0.75
[M-H-C3H6]-	1	-1	-43.05422575	102	0	0.5
[M-H-C2H4O (McLafferty)]-	1	-1	-45.03349031	103	0	0.5
[M-H-C4H6]-	1	-1	-55.05422575	104	0	0.5
[M-H-C3H4O]-	1	-1	-57.03349031	105	0	0.5
[M-H-C4H8]-	1	-1	-57.06987582	106	0	0.5
[M-H-C5H8]-	1	-1	-69.06987582	107	0	0.5
[M-H-C4H6O]-	1	-1	-71.04914038	108	0	0.5
[M-H-C5H10]-	1	-1	-71.08552589	109	0	0.5
[M-H-C6H12]-	1	-1	-85.10117596	110	0	0.5
[M-H-C4H8O2]-	1	-1	-89.05970508	111	0	0.5
[M-H-H2O-HCOOH]-	1	-1	-65.02331957	112	0	0.5
[M-H-CH4]-	1	-1	-17.03857568	113	0	0.5
[M-H-CH2O]-	1	-1	-31.01784024	114	0	0.5
[M-H-C2H6]-	1	-1	-31.05422575	115	0	0.5
[M-H-CH3OH]-	1	-1	-33.03349031	116	0	0.5
[M-H-C3H4]-	1	-1	-41.03857568	117	0	0.5
[M-H-C3H6O]-	1	-1	-59.04914038	118	0	0.5
[M-H-CO2-C3H6]-	1	-1	-87.04405593	119	0	0.5
[M-H-SO3]-	1	-1	-80.96409105	120	0	0.5
[M-H-SO3-H2O]-	1	-1	-98.97465575	121	0	0.5
[M-H-SO3-H2O-NH3]-	1	-1	-116.0012049	122	0	0.5
[M-H-NH3-C3H4]-	1	-1	-58.06512571	123	0	0.5
[M-H-H2O-CO2]-	1	-1	-63.00767042	124	0	0.5
[M-H-H2O-H2O-C2H4O (McLafferty)]-	1	-1	-81.05462063	125	0	0.5
[M-H-NH3-CO-CO]-	1	-1	-74.02365483	126	0	0.5
[M-H-NH3-CO-COCH2]-	1	-1	-88.0393049	127	0	0.5
[M-H-C8H6O]-	1	-1	-119.0491413	128	0	0.5
[M-H-C8H6O-NH3]-	1	-1	-136.0756904	129	0	0.5
[M-H-C8H6O-H2O]-	1	-1	-137.059706	130	0	0.5
[M-H-C2H2O2]-	1	-1	-59.01275579	131	0	0.5
[M-H-C2H4O2]-	1	-1	-61.02840586	132	0	0.5
[M-H-C5H8O]-	1	-1	-85.06479137	133	0	0.5
[M-H-NH3-CO2-CH2O]-	1	-1	-92.03421952	134	0	0.5
[M-H-NH3-CO2-NH3-H2O]-	1	-1	-97.06076863	135	0	0.5
[M-H-NH3-CO2-C3H4O]-	1	-1	-118.0498696	136	0	0.5
[M-H-NH3-CO2-C5H8]-	1	-1	-130.0862551	137	0	0.5
[M-H-HCOOH-HCOOH]-	1	-1	-93.01823512	138	0	0.5
[M-H-C2H4-CO2]-	1	-1	-73.02840586	139	0	0.5
[M-H-C2H4-HCOOH]-	1	-1	-75.04405593	140	0	0.5
[M-H-NH3-H2O-H2O]-	1	-1	-54.05495496	141	0	0.5
[M-H-H2O-C2H2O2]-	1	-1	-77.02332049	142	0	0.5
[M-H-COCH2-C4H8]-	1	-1	-99.08044144	143	0	0.5
[M-H-NH3-NH3-C3H4]-	1	-1	-75.09167481	144	0	0.5
[M-H-C2H4O2-CH3OH]-	1	-1	-93.05462063	145	0	0.5
[M-H-C3H6O-CH3OH]-	1	-1	-91.07535607	146	0	0.5
[M-H-NH3-CO-COCH2-C4H6O]-	1	-1	-158.0811697	147	0	0.5
[M-H-C4H6-H2O]-	1	-1	-73.06479137	148	0	0.5
[M-H-C4H6-C2H4]-	1	-1	-83.08552681	149	0	0.5
[M-H-C4H6-NH3-H2O]-	1	-1	-90.09134047	150	0	0.5
[M-H-C4H6-COCH2]-	1	-1	-97.06479137	151	0	0.5
[M-H-C4H6-C4H6O]-	1	-1	-125.0960915	152	0	0.5
[M-H-C3H4O-C4H6]-	1	-1	-111.0804414	153	0	0.5
[M-H-C3H4O-C4H8O2]-	1	-1	-145.0859208	154	0	0.5
[M-H-C4H8-C4H6]-	1	-1	-111.1168269	155	0	0.5
[M-H-NH3-HCOOH-CH3OH]-	1	-1	-96.06551966	156	0	0.5
[M-H-NH3-C2H6]-	1	-1	-48.08077577	157	0	0.5
[M-H-NH3-C8H6O-CH2]-	1	-1	-150.0913405	158	0	0.5
[M-H-NH3-C3H4-COCH2]-	1	-1	-100.0756904	159	0	0.5
[M-H-C3H9N]-	1	-1	-60.08077577	160	0	0.5
[M-H-C3H9N-C2H4O2]-	1	-1	-120.1019052	161	0	0.5
[M-H-gluc]-	1	-1	-177.0394	162	0	0.75
[M-H-gluc-H2O]-	1	-1	-195.0499529	163	0	0.75
[M-H-gluc-(H2O)2]-	1	-1	-213.0604529	164	0	0.5
[M-H-gluc-(H2O)3]-	1	-1	-231.0710529	165	0	0.5
[M-H-gluc-(H2O)3-CO]-	1	-1	-259.0659529	166	0	0.5
[M-H-(H2O)3]-	1	-1	-55.03897291	167	0	0.5
[M-H-(H2O)3-CO]-	1	-1	-83.03388291	168	0	0.5
[M-H-Leu]-	1	-1	-132.1019529	169	0	0.5
[M-H-Val]-	1	-1	-118.0862529	170	0	0.5
[M-H-CH3S]-	1	-1	-48.00282291	171	0	0.5
[M-H-phenylacetyl]-	1	-1	-119.0491529	172	0	0.5
